Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-81.459267,-0.033291522,-0.030336967,-0.034040853
-83.238785,-0.033973068,-0.030926472,-0.034781694
-84.965149,-0.0345928,-0.031373937,-0.035479307
-86.899399,-0.035361696,-0.032122977,-0.036160335
-89.082664,-0.036095064,-0.032876361,-0.036934331
-91.190163,-0.03690676,-0.033495244,-0.037706152
-93.003662,-0.037557907,-0.03419587,-0.038457662
-94.700424,-0.038161851,-0.034719203,-0.039050788
-96.635811,-0.038898692,-0.035409939,-0.039833397
-98.841286,-0.03969001,-0.036224026,-0.040688351
-100.93739,-0.040470593,-0.036850031,-0.041477919
-102.8104,-0.041123662,-0.037494615,-0.042182803
-104.4883,-0.041774042,-0.038028069,-0.042736933
-106.38091,-0.042490784,-0.038641442,-0.043427095
-108.4693,-0.043201972,-0.03945341,-0.044289812
-110.63844,-0.043980382,-0.040083844,-0.045061037
-112.5916,-0.044705782,-0.040905312,-0.045893952
-114.26897,-0.045278788,-0.041527927,-0.046526507
-116.09441,-0.045998186,-0.042112213,-0.047104314
-118.2037,-0.046760499,-0.042859305,-0.04793258
-120.3335,-0.047539741,-0.043632213,-0.048758313
-122.33946,-0.048315704,-0.044344958,-0.049514428
-120.09396,-0.047677167,-0.04378498,-0.048873648
-117.99854,-0.047135651,-0.04314566,-0.048276976
-116.11958,-0.046601158,-0.042599048,-0.047731906
-114.33484,-0.046079498,-0.041947812,-0.047083005
-112.36306,-0.045475662,-0.041444242,-0.046474069
-110.1389,-0.044739079,-0.040764835,-0.045743793
-108.02689,-0.044138808,-0.040100951,-0.045076847
-106.1655,-0.043611676,-0.039586395,-0.04445231
-104.49085,-0.043050781,-0.038993686,-0.043928981
-102.59073,-0.042401016,-0.038395803,-0.043347016
-100.38721,-0.041714519,-0.037721284,-0.042627901
-98.22599,-0.0410695,-0.037088696,-0.041859478
-96.364212,-0.040435664,-0.036493886,-0.041177675
-94.690277,-0.039876074,-0.036001734,-0.040622666
-92.839577,-0.039273847,-0.035406996,-0.040035471
-90.603554,-0.038583532,-0.034749433,-0.039243102
-88.493126,-0.037849236,-0.03403851,-0.038485914
-86.614372,-0.037247188,-0.0334347,-0.037845731
-84.921898,-0.036668796,-0.032865811,-0.037215769
-83.061989,-0.036048885,-0.032242034,-0.036588117
-80.886055,-0.035197604,-0.031568952,-0.035843611
-78.701294,-0.034574695,-0.030821228,-0.035039857
-76.797569,-0.03400873,-0.030286735,-0.034328133
-75.137108,-0.03331013,-0.02979606,-0.033785731
-73.322754,-0.032702036,-0.029239999,-0.033136696
-71.164772,-0.031918999,-0.028447231,-0.032389373
-69.019203,-0.031158801,-0.027685633,-0.03161487
-67.067856,-0.03052102,-0.027106363,-0.030849144
-65.328705,-0.029839858,-0.026552591,-0.030219004
-63.573456,-0.029208302,-0.02591031,-0.029564187
-61.500214,-0.028478295,-0.025343686,-0.028848976
-59.313129,-0.02767349,-0.024629273,-0.027992845
-57.311939,-0.026915483,-0.023917791,-0.027206138
-55.538204,-0.026209597,-0.023434304,-0.026537046
-53.778721,-0.025548607,-0.02275572,-0.025831908
-51.752213,-0.024727628,-0.022199525,-0.025070399
-49.595688,-0.023962736,-0.021361392,-0.024203435
-47.555927,-0.023197144,-0.020758249,-0.023419946
-45.773708,-0.022461385,-0.020160828,-0.022749275
-44.036572,-0.021849222,-0.019449212,-0.022041932
-42.046604,-0.020995475,-0.018900011,-0.021291688
-39.869144,-0.020167213,-0.018196916,-0.020332873
-37.819668,-0.019354545,-0.017379055,-0.019537315
-36.05838,-0.018670259,-0.016904961,-0.018865004
-34.25238,-0.017869249,-0.016262079,-0.018147677
-32.32724,-0.01720201,-0.015534798,-0.017260373
-30.122591,-0.016214728,-0.014882833,-0.016324192
-28.035666,-0.015359366,-0.014125844,-0.015484914
-26.315348,-0.014657576,-0.013459465,-0.014706597
-24.556805,-0.013904901,-0.012816962,-0.013914138
-22.604229,-0.013069168,-0.012101304,-0.013111711
-20.456999,-0.012246156,-0.011405246,-0.012198091
-18.341467,-0.011389146,-0.010624451,-0.011254817
-16.53064,-0.010596519,-0.0099200653,-0.010483682
-14.762703,-0.0098678339,-0.0091964183,-0.0097361654
-12.885028,-0.0090451706,-0.0085043712,-0.0088716149
-10.742595,-0.0081722848,-0.0077267587,-0.0078684986
-8.6678114,-0.0073060654,-0.0068362514,-0.0069759935
-6.7937913,-0.0065354854,-0.00618573,-0.0061802268
-5.0279946,-0.0057097021,-0.0055008437,-0.0054574311
-3.8091393,-0.0051724883,-0.0048417887,-0.0049708337
-3.9718504,-0.005114763,-0.0049023684,-0.0049708635
-3.9436445,-0.0050838869,-0.0047713863,-0.0048502684
-3.9458852,-0.0050854776,-0.0047949441,-0.0047941953
-3.9817858,-0.0051142769,-0.0048615159,-0.0047760606
-4.0389113,-0.0050272467,-0.0047270246,-0.0047629476
-3.7354548,-0.0048966231,-0.0046152333,-0.0046715587
-3.6791358,-0.004853229,-0.0046065859,-0.0046491474
-3.7555788,-0.0048580598,-0.0046386784,-0.0046705604
-3.8616285,-0.0048614508,-0.0046169842,-0.004635945
-3.9292126,-0.0048335111,-0.0045926925,-0.0045654178
-3.8868711,-0.0048705088,-0.0045778705,-0.0045418292
-3.810998,-0.0047749672,-0.0045995675,-0.0045433342
-3.8415062,-0.004799014,-0.00460649,-0.0045723617
-3.9132369,-0.0049205543,-0.0046368996,-0.0045611709
-4.0069857,-0.0048473347,-0.0045823492,-0.0045568794
-4.0110664,-0.0049167592,-0.0046369946,-0.0046356171
-3.8761032,-0.0047858926,-0.0044848574,-0.0044862628
-3.8456469,-0.0047691148,-0.0044379793,-0.0044834465
-3.9062071,-0.0048349071,-0.0045169918,-0.0044605732
-4.0340981,-0.004800777,-0.0044854302,-0.0045470744
-4.0114427,-0.0048048021,-0.0045643924,-0.0045247674
-3.8856902,-0.0047389008,-0.0045102201,-0.0045219809
-3.8827155,-0.0046601715,-0.0044055255,-0.0045560896
-3.9478056,-0.0047851102,-0.0044928128,-0.0044828206
-4.0215421,-0.0046956176,-0.0044853557,-0.0044853687
-4.017107,-0.004750873,-0.0044939574,-0.0044616014
-3.8901343,-0.0047521424,-0.0044425139,-0.0044168979
-3.8500204,-0.0047101825,-0.0043819286,-0.0043575317
-3.9242935,-0.0047095129,-0.0043956498,-0.0044393837
-3.9916801,-0.0047157183,-0.0046036914,-0.0044282675
-4.0403957,-0.0047470434,-0.004504092,-0.0044902414
-3.957767,-0.0047156792,-0.0044404641,-0.0044981092
-3.8284473,-0.0046507185,-0.0042709867,-0.0043641627
-3.8709493,-0.0046037175,-0.0044354331,-0.0043849051
-3.9614029,-0.004669263,-0.0044224262,-0.0043734163
-4.0141439,-0.0047745099,-0.0044353036,-0.0043281168
-3.9139781,-0.0046612388,-0.0044202525,-0.00438568
-3.8402061,-0.0046414156,-0.0044016093,-0.0043200701
-3.8836246,-0.0046601249,-0.0043491935,-0.0043237209
-3.9861686,-0.0046866219,-0.0044121053,-0.0044388473
-4.0226784,-0.0046765264,-0.0044077234,-0.0044008791
-3.9388947,-0.0046868967,-0.0044528944,-0.0042830259
-3.8284492,-0.0046147695,-0.0044243094,-0.0042607486
-3.8377941,-0.0046276525,-0.004379306,-0.0042455047
-3.9357021,-0.0047128266,-0.0043706791,-0.0043250322
-4.0052905,-0.0047082789,-0.0044694832,-0.0042973608
-4.0024018,-0.0045958171,-0.0044412874,-0.0043601692
-3.8756504,-0.0045723319,-0.004415852,-0.0043226331
-3.8447733,-0.0046138475,-0.0043171942,-0.0042952746
-3.9205644,-0.0046683457,-0.0044107065,-0.0042771548
-3.9865561,-0.0046376595,-0.0043916535,-0.0042993426
-3.9724391,-0.0046138624,-0.0043096095,-0.0042355508
-3.8608294,-0.0046501886,-0.0043021934,-0.004242003
-3.8506091,-0.0046079354,-0.0042650979,-0.0042034686
-3.911592,-0.0045632832,-0.0043807691,-0.004206568
-3.9932859,-0.0045765787,-0.0043991581,-0.0042563528
-3.9870794,-0.0045600822,-0.0043628886,-0.0042258501
-3.9204507,-0.0045885649,-0.0042944355,-0.0042364299
-3.875982,-0.0045707757,-0.0043490408,-0.0042467713
-4.3696146,-0.0046928367,-0.0044198921,-0.0043816268
-6.0257931,-0.0053017084,-0.0049811294,-0.0049393028
-8.9171476,-0.0062765516,-0.00588788,-0.0059636235
-10.94,-0.0070562158,-0.0067080082,-0.0066436976
-12.719977,-0.007622093,-0.007363691,-0.0073245317
-14.699965,-0.0083123781,-0.0079832273,-0.0081367493
-16.867023,-0.0091703609,-0.0086993473,-0.0089559704
-18.85187,-0.0098187793,-0.0093214894,-0.0097392052
-20.619926,-0.010491194,-0.0099662589,-0.010523006
-22.385311,-0.011101943,-0.010653082,-0.011205435
-24.319731,-0.011805676,-0.011313213,-0.011948839
-26.54862,-0.012661286,-0.012043943,-0.012873575
-28.537214,-0.013442919,-0.012678236,-0.013650671
-30.425356,-0.014173673,-0.013326561,-0.014406309
-32.112869,-0.014810048,-0.014013191,-0.015089422
-34.015297,-0.015520385,-0.014480956,-0.015925288
-36.130211,-0.016339753,-0.015376935,-0.016744316
-38.342457,-0.017153092,-0.016109522,-0.017625302
-40.18203,-0.017880341,-0.016532578,-0.018325299
-41.861641,-0.018504005,-0.017211599,-0.018994108
-43.704918,-0.019198904,-0.017773202,-0.01978308
-45.787033,-0.02001127,-0.018567169,-0.020614207
-47.990036,-0.020873329,-0.019314028,-0.021513209
-50.032784,-0.021611964,-0.019993346,-0.022355556
-51.702118,-0.022221267,-0.020525968,-0.022997722
-53.418625,-0.022947866,-0.021145392,-0.023628622
-55.541,-0.023703825,-0.0218696,-0.024457574
-57.755032,-0.02458141,-0.022576081,-0.025301844
-59.729923,-0.025340308,-0.023187956,-0.026128888
-61.34333,-0.025876209,-0.023845484,-0.026802897
-63.195438,-0.02668478,-0.024609977,-0.027525082
-65.263596,-0.027412694,-0.025251616,-0.028297126
-67.480362,-0.028245162,-0.025911728,-0.029150665
-69.52755,-0.029012557,-0.026601888,-0.029868871
-71.198341,-0.02959241,-0.027267596,-0.030570701
-72.980171,-0.030325364,-0.027904673,-0.031275421
-74.952644,-0.031049456,-0.028514562,-0.032046244
-77.097694,-0.031836059,-0.029302102,-0.032862931
-79.217133,-0.032597058,-0.029981459,-0.033616126
-81.082489,-0.033315208,-0.030617697,-0.034375578
-82.783516,-0.033934418,-0.031217264,-0.035016671
-84.687035,-0.034616657,-0.03180664,-0.03575179
-86.876045,-0.035493899,-0.032529417,-0.036594927
-88.992538,-0.036208875,-0.033318713,-0.037367031
-90.929176,-0.036884889,-0.033807203,-0.03810823
-92.573502,-0.03756633,-0.03446018,-0.038770765
-94.418419,-0.038231023,-0.035073288,-0.039418966
-96.521675,-0.03899847,-0.035881359,-0.040223822
-98.710648,-0.039765652,-0.036705621,-0.041005448
-100.68761,-0.040519655,-0.037140228,-0.041754574
-102.3839,-0.041169677,-0.037816968,-0.042466864
-104.18008,-0.041765843,-0.038462266,-0.043094695
-106.2711,-0.042572994,-0.039199788,-0.043914482
-108.42796,-0.043316443,-0.039970562,-0.044671595
-110.44129,-0.044129573,-0.040525351,-0.045453161
-112.18114,-0.044726133,-0.041257612,-0.046172038
-113.94619,-0.045379426,-0.041805308,-0.046759456
-115.95506,-0.046063624,-0.042555392,-0.047458276
-118.13455,-0.046915203,-0.043308806,-0.048272625
-120.15421,-0.047554627,-0.043943837,-0.049041644
-121.94081,-0.048337929,-0.044659123,-0.049747482
-122.00461,-0.048450217,-0.04479029,-0.049829409
-122.028,-0.048505109,-0.044821437,-0.049985453
-122.23009,-0.048629582,-0.044918813,-0.050093845
-122.2724,-0.048695393,-0.044963706,-0.050190613
-122.07644,-0.048587926,-0.044987496,-0.050140843
-121.88896,-0.048672307,-0.044985957,-0.050097123
-121.93604,-0.048747484,-0.044948466,-0.050102904
-122.09104,-0.048890121,-0.045112442,-0.050193384
-122.18425,-0.048869681,-0.04517604,-0.05028747
-122.05625,-0.048811834,-0.045082871,-0.050286904
-121.88784,-0.048819475,-0.045049798,-0.050302222
-121.8981,-0.048928931,-0.045131128,-0.050339714
-122.10059,-0.048935268,-0.045310982,-0.050485626
-122.19896,-0.04901658,-0.04530213,-0.050489739
-122.06471,-0.049010694,-0.04507786,-0.050398096
-121.85121,-0.049016416,-0.045141578,-0.050372317
-121.87778,-0.049041521,-0.045194782,-0.050406918
-122.05022,-0.049121585,-0.045319729,-0.050476953
-122.19936,-0.049227871,-0.045515113,-0.050566211
-122.11116,-0.049169607,-0.045357067,-0.050599888
-121.91219,-0.04918395,-0.045309287,-0.050510988
-121.86932,-0.049139529,-0.045277704,-0.050520822
-121.99487,-0.04921839,-0.045412764,-0.050542161
-122.12206,-0.049269088,-0.045470573,-0.050647393
-122.11865,-0.049276218,-0.045428287,-0.050696567
-121.89593,-0.049232304,-0.045432586,-0.050618634
-121.85741,-0.049184754,-0.04546421,-0.05065386
-121.98597,-0.049370881,-0.045449108,-0.050744548
-122.15422,-0.049351897,-0.045582309,-0.050757512
-122.12101,-0.049351934,-0.045511335,-0.050715819
-121.92581,-0.049334291,-0.045539949,-0.050716922
-121.84656,-0.049321193,-0.04555399,-0.050715819
-121.98345,-0.04946965,-0.045500763,-0.050805941
-122.15573,-0.049468361,-0.045661189,-0.050912246
-122.17592,-0.049497925,-0.045638505,-0.05082716
-121.96134,-0.049368169,-0.045578923,-0.050766692
-121.83141,-0.049401108,-0.04562385,-0.050776467
-121.92923,-0.049458709,-0.045592569,-0.050788119
-122.10887,-0.049593817,-0.045692805,-0.050886557
-122.19054,-0.049625099,-0.045744862,-0.050962433
-122.00162,-0.049534891,-0.045584023,-0.050874099
-121.85182,-0.049527153,-0.045725495,-0.050796017
-121.90624,-0.049632337,-0.045728184,-0.05090262
-122.08819,-0.049695875,-0.045739025,-0.050957754
-122.16809,-0.049670286,-0.045862623,-0.05105786
-122.01427,-0.049683657,-0.045695767,-0.050945207
-121.84374,-0.049659267,-0.045709487,-0.050904736
-121.88136,-0.049650744,-0.045741517,-0.05095093
-122.07024,-0.049641587,-0.045792159,-0.051005498
-122.20364,-0.049772296,-0.045868196,-0.051096663
-122.0868,-0.049831349,-0.045796208,-0.051069096
-121.85918,-0.049706891,-0.045761447,-0.05101563
-121.84728,-0.049697831,-0.045736533,-0.051001146
-122.03343,-0.049760994,-0.045868691,-0.051069126
-122.14022,-0.049792245,-0.045961984,-0.051103756
-122.11358,-0.049825318,-0.045895919,-0.051137283
-121.91215,-0.04974236,-0.045864932,-0.051165536
-121.8631,-0.049778428,-0.045930151,-0.051044449
-122.00082,-0.049850263,-0.045905668,-0.051076129
-122.15246,-0.049870215,-0.04599927,-0.051148221
-120.00565,-0.049268164,-0.045264836,-0.050509021
-117.14818,-0.048436895,-0.044450521,-0.049583986
-114.5013,-0.047656175,-0.043718018,-0.04879047
-112.19125,-0.046847776,-0.042900223,-0.048014536
-109.95442,-0.046211023,-0.042249743,-0.047204375
-107.35749,-0.045256924,-0.041565683,-0.046389535
-104.53518,-0.044389799,-0.04056247,-0.045450166
-101.90162,-0.043602176,-0.039730705,-0.044581354
-99.620285,-0.042884357,-0.038988609,-0.043820336
-97.374718,-0.042082772,-0.038292121,-0.043004155
-94.880051,-0.04131519,-0.037523381,-0.042138696
-92.086624,-0.040370703,-0.03658599,-0.041183993
-89.396912,-0.039511282,-0.035826135,-0.040287167
-87.002754,-0.038715489,-0.034946594,-0.039469913
-84.789543,-0.037870191,-0.034342825,-0.03863804
-82.375618,-0.037064452,-0.033575982,-0.037701815
-79.649101,-0.036092285,-0.032587398,-0.036759049
-76.956047,-0.035226062,-0.031722367,-0.035831884
-74.476807,-0.034274992,-0.030998344,-0.034966454
-72.23259,-0.033579379,-0.030133082,-0.034161359
-69.878273,-0.032694466,-0.029488202,-0.033286512
-67.19146,-0.031669412,-0.028492458,-0.032265216
-64.501457,-0.030778088,-0.027721802,-0.031285301
-61.960857,-0.029836938,-0.026901668,-0.030320957
-59.633846,-0.028943747,-0.026032481,-0.02943404
-57.34639,-0.028111283,-0.025280343,-0.028576016
-54.777054,-0.02700945,-0.024382705,-0.027511597
-51.996704,-0.025985461,-0.023424266,-0.026424676
-49.440304,-0.025015339,-0.022722906,-0.025439784
-47.101086,-0.024128426,-0.021839654,-0.024471208
-44.799103,-0.023231018,-0.021137379,-0.023643851
-42.27673,-0.022226498,-0.020311726,-0.02256602
-39.560753,-0.021091003,-0.019219486,-0.021404549
-36.952419,-0.020125277,-0.018396938,-0.020323455
-34.599262,-0.019094542,-0.017573414,-0.019402578
-32.352638,-0.018163506,-0.016760089,-0.018506333
-29.864771,-0.017161008,-0.015910044,-0.017367169
-27.08366,-0.015982354,-0.014868122,-0.016180232
-24.429804,-0.014817346,-0.013947397,-0.015009463
-22.085953,-0.013906494,-0.013047543,-0.013998449
-19.832613,-0.012893366,-0.012239891,-0.013028413
-17.403732,-0.011881698,-0.011327049,-0.011947945
-14.650584,-0.01072141,-0.010202096,-0.010655001
-12.03686,-0.0096905883,-0.0091802245,-0.0094714761
-9.6300659,-0.0086419247,-0.0082422383,-0.0083359182
-7.2975216,-0.0076226685,-0.0072495025,-0.0072934031
-4.8826356,-0.0065095294,-0.0062108869,-0.0062981844
-2.6233904,-0.0056433436,-0.0051559452,-0.0053328574
-1.4649258,-0.0051473845,-0.0045387652,-0.0045810789
-0.68201309,-0.0048724581,-0.0040825969,-0.0042121857
-0.69145489,-0.004860227,-0.003946485,-0.004129678
-0.7461589,-0.0048183175,-0.0039528897,-0.0041363835
-0.77053159,-0.004738397,-0.0039797043,-0.0040836483
-0.72854942,-0.0047136908,-0.0038161266,-0.0039357543
-0.76741165,-0.0046941657,-0.0038357915,-0.0039116144
-0.87460691,-0.0047408994,-0.0038693591,-0.0039968789
-0.94473177,-0.0047223521,-0.003926238,-0.0040212125
-0.92181563,-0.0046512717,-0.0040163388,-0.0039796829
-0.86373276,-0.0046562133,-0.0038102095,-0.0039170682
-0.90079379,-0.0046351543,-0.0038351885,-0.0038878173
0.093188137,-0.0044727232,-0.0033495876,-0.0033563375
